Fecha de Scraping,Título,Descripción
2024-06-23 18:33:36,"Casa en Venta, Fagua, Chía",60 | 3 | 2
2024-06-23 18:33:36,"Casa en Venta, Santa Cecilia 5, Chía",98 | 3 | 2
2024-06-23 18:33:36,"Casa en Venta, Fagua, Chía",66 | 3 | 2
2024-06-23 18:33:36,"Casa en Venta, Cerritos, Pereira",$750.000.000 | 133 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, Hacienda La Luna, Chía",$750.000.000 | 133 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, Suba, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, La Moya, Cota (Incluye Siberia)",$1.200.000.000 | 295 m² | 3 | 5
2024-06-23 18:33:36,"Casa en Venta, Pance La Viga, Cali",$1.200.000.000 | 295 m² | 3 | 5
2024-06-23 18:33:36,"Casa en Venta, Palo Amarillo, Chía",
2024-06-23 18:33:36,"Casa en Venta, Armenia Circasia, Armenia",$750.000.000 | 133 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, Piedra Luna, Cajicá",$750.000.000 | 133 m² | 3 | 3
2024-06-23 18:33:36,"Apartamento en Venta, Pontevedra, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, La Campiña, Barranquilla",$900.000.000 | 164 m² | 3 | 3
2024-06-23 18:33:36,"Apartamento en Venta, Madelena, Bogotá D.C.",$900.000.000 | 164 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, Vereda El Salitre, La Calera",
2024-06-23 18:33:36,"Casa en Venta, Las Delicias, Barranquilla",$1.600.000.000 | 329 m² | 4 | 4
2024-06-23 18:33:36,"Casa en Venta, LA CAROLINA, Bogotá D.C.",$1.600.000.000 | 329 m² | 4 | 4
2024-06-23 18:33:36,"Casa en Venta, Villa Santos, Barranquilla",
2024-06-23 18:33:36,"Casa en Venta, Manga, Cartagena de Indias",$500.000.000 | 150 m² | 4 | 3
2024-06-23 18:33:36,"Apartamento en Venta, Ecohaus, Chía",$500.000.000 | 150 m² | 4 | 3
2024-06-23 18:33:36,"Casa en Venta, Via A Subachoque, Subachoque",
2024-06-23 18:33:36,"Casa en Venta, Country Club Villas, Puerto Colombia",$1.000.000.000 | 178.13 m² | 4 | 4
2024-06-23 18:33:36,"Casa en Venta, Estoraques Ii, Bucaramanga",$1.000.000.000 | 178.13 m² | 4 | 4
2024-06-23 18:33:36,"Apartamento en Venta, Valle De Luna, Chía",
2024-06-23 18:33:36,"Apartamento en Venta, Ecohaus, Chía",$1.200.000.000 | 229.12 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, Puente Largo, Bogotá D.C.",$1.200.000.000 | 229.12 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, chia, Chía",
2024-06-23 18:33:36,"Apartamento en Venta, Bosque Medina, Bogotá D.C.",$1.200.000.000 | 206 m² | 4 | 4
2024-06-23 18:33:36,"Casa en Venta, L   CIUDAD JARDIN, Funza",$1.200.000.000 | 206 m² | 4 | 4
2024-06-23 18:33:36,"Casa en Venta, Jamundi, Jamundi",
2024-06-23 18:33:36,"Apartamento en Venta, Chico Norte, Bogotá D.C.",$1.300.000.000 | 220 m² | 4 | 4
2024-06-23 18:33:36,"Apartamento en Venta, Montearroyo, Bogotá D.C.",$1.300.000.000 | 220 m² | 4 | 4
2024-06-23 18:33:36,"Casa en Venta, EL POBLADO SAN LUCAS, Medellín",
2024-06-23 18:33:36,"Casa en Venta, Chapinero Central, Bogotá D.C.",$1.090.000.000 | 165 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, EL POBLADO, Medellín",$1.090.000.000 | 165 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, PARCELAS DE COTA, Cota (Incluye Siberia)",
2024-06-23 18:33:36,"Apartamento en Venta, Rosales, Bogotá D.C.",$675.000.000 | 106 m² | 3 | 2
2024-06-23 18:33:36,"Apartamento en Venta, Florida Nueva, Medellín",$675.000.000 | 106 m² | 3 | 2
2024-06-23 18:33:36,"Apartamento en Venta, Chico Navarra, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, LA TEBAIDA, Armenia",$1.197.637.000 | 517 m² | 5 | 4
2024-06-23 18:33:36,"Casa en Venta, BACHUE, Bogotá D.C.",$1.197.637.000 | 517 m² | 5 | 4
2024-06-23 18:33:36,"Casa en Venta, san luis teusaquillo, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, los alcazares, Sabaneta",$230.000.000 | 45 m² | 2 | 1
2024-06-23 18:33:36,"Casa en Venta, Río frio, Chía",$230.000.000 | 45 m² | 2 | 1
2024-06-23 18:33:36,"Casa en Venta, EL INGENIO III, Cali",
2024-06-23 18:33:36,"Casa en Venta, SANTA BARBARA ORIENTAL, Bogotá D.C.",$1.620.000.000 | 650 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, caminos del bosque, Bogotá D.C.",$1.620.000.000 | 650 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, Verdes el salitre, La Calera",
2024-06-23 18:33:36,"Casa en Venta, Palma, Envigado",$780.000.000 | 238 m² | 4 | 3
2024-06-23 18:33:36,"Casa en Venta, Vereda la Vecta, Copacabana",$780.000.000 | 238 m² | 4 | 3
2024-06-23 18:33:36,"Casa en Venta, San Lucas, Envigado",
2024-06-23 18:33:36,"Casa en Venta, SANTA  ANA SUR, Bogotá D.C.",$1.750.000.000 | 246.84 m² | 4 | 4
2024-06-23 18:33:36,"Casa en Venta, O   LA AURORA, Funza",$1.750.000.000 | 246.84 m² | 4 | 4
2024-06-23 18:33:36,"Casa en Venta, VILLA CAMPESTRE, Barranquilla",
2024-06-23 18:33:36,"Casa en Venta, BARRIO PORVENIR, Funza",$1.500.000.000 | 499 m² | 4 | 5
2024-06-23 18:33:36,"Casa en Venta, VERDE VIVO, Cajicá",$1.500.000.000 | 499 m² | 4 | 5
2024-06-23 18:33:36,"Casa en Venta, Balmoral, Fusagasuga",
2024-06-23 18:33:36,"Casa en Venta, EL VERGEL, Ibagué",$850.000.000 | 220 m² | 3 | 5
2024-06-23 18:33:36,"Casa en Venta, CARTAGENA   ISLA BARÚ, Barú",$850.000.000 | 220 m² | 3 | 5
2024-06-23 18:33:36,"Casa en Venta, NORMANDIA OCCIDENTAL, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, San Lucas   Envigado, Envigado",$700.000.000 | 141.05 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, COUNTRY SUR, Bogotá D.C.",$700.000.000 | 141.05 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, Sector Carmen de Apicalá, Carmen De Apicala",
2024-06-23 18:33:36,"Casa en Venta, Sector Guamo Tolima, Guamo",$1.150.000.000 | 267 m² | 4 | 2
2024-06-23 18:33:36,"Casa en Venta, Sector Melgar Tolima, Melgar",$1.150.000.000 | 267 m² | 4 | 2
2024-06-23 18:33:36,"Casa en Venta, Villa De Leyva",
2024-06-23 18:33:36,"Casa en Venta, altos de manare, Yopal",$750.000.000 | 300 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, Sopo (Incluye Yerbabuena)",$750.000.000 | 300 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, NIZA ANTIGUA, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, Villa De Leyva",$240.000.000 | 96 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, ENVIGADO, Envigado",$240.000.000 | 96 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, Ricaurte",
2024-06-23 18:33:36,"Casa en Venta, VILLA SANTOS, Barranquilla",$510.000.000 | 104 m² | 3 | 2
2024-06-23 18:33:36,"Casa en Venta, ENVIGADO, Envigado",$510.000.000 | 104 m² | 3 | 2
2024-06-23 18:33:36,"Casa en Venta, SAN JOSE DE BAVARIA, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, BALCON DE LINDARAJA, Bogotá D.C.",$398.000.000 | 93 m² | 2 | 3
2024-06-23 18:33:36,"Casa en Venta, LA SAMARIA, Ibagué",$398.000.000 | 93 m² | 2 | 3
2024-06-23 18:33:36,"Casa en Venta, Chia, Chía",
2024-06-23 18:33:36,"Casa en Venta, HACIENDA SAN SIMON, Bogotá D.C.",$1.500.000.000 | 240 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, SUBA TUNA ALTA, Bogotá D.C.",$1.500.000.000 | 240 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, SAN JOSE DE BAVARIA, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, MORA VERDE, Bogotá D.C.",$1.200.000.000 | 290 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, SAN JOSE DE BAVARIA, Bogotá D.C.",$1.200.000.000 | 290 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, san jose de bavaria, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, SAN JOSE BAVARIA, Bogotá D.C.",$1.490.000.000 | 234 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, SAN JOSE BAVARIA, Bogotá D.C.",$1.490.000.000 | 234 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, VILLA DE LOS ALPES, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, LA MILAGROSA, Medellín",$350.000.000 | 143 m² | 5 | 3
2024-06-23 18:33:36,"Casa en Venta, TIQUIZA, Chía",$350.000.000 | 143 m² | 5 | 3
2024-06-23 18:33:36,"Casa en Venta, Apulo, Apulo",
2024-06-23 18:33:36,"Casa en Venta, HACIENDA SAN SIMON, Bogotá D.C.",$350.000.000 | 290 m² | 4 | 3
2024-06-23 18:33:36,"Casa en Venta, HACIENDA SAN SIMON, Bogotá D.C.",$350.000.000 | 290 m² | 4 | 3
2024-06-23 18:33:36,"Casa en Venta, PANCE, Cali",
2024-06-23 18:33:36,"Casa en Venta, San Joaquín, Bogotá D.C.",$2.200.000.000 | 427 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, BOSA   CALDAS, Bogotá D.C.",$2.200.000.000 | 427 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, EL POBLADO, Medellín",
2024-06-23 18:33:36,"Casa en Venta, bogota| san jose de bavaria, Bogotá D.C.",$2.990.000.000 | 370.89 m² | 4 | 5
2024-06-23 18:33:36,"Casa en Venta, EL POBLADO, Medellín",$2.990.000.000 | 370.89 m² | 4 | 5
2024-06-23 18:33:36,"Casa en Venta, VILLALUZ, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, LOMA DEL BARRO, Envigado",$1.430.000.000 | 181 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, CHAPINERO, Bogotá D.C.",$1.430.000.000 | 181 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, QUINTAS DE SANTA MARIA, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, EL POBLADO SAN LUCAS, Medellín",$720.000.000 | 280 m² | 5 | 3
2024-06-23 18:33:36,"Casa en Venta, Suba vía Cota, Cota (Incluye Siberia)",$720.000.000 | 280 m² | 5 | 3
2024-06-23 18:33:36,"Casa en Venta, VALLE DEL LILI, Cali",
2024-06-23 18:33:36,"Casa en Venta, Hacienda Fontanar, Chía",$2.650.000.000 | 355 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, NUEVA ROMA, Bogotá D.C.",$2.650.000.000 | 355 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, PANCE LA VIGA, Cali",
2024-06-23 18:33:36,"Casa en Venta, SAN LUIS GALERIAS, Bogotá D.C.",$2.700.000.000 | 450 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, EL POBLADO, Medellín",$2.700.000.000 | 450 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, SAN JOSE DE BAVARIA, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, SAN JOSE DE BAVARIA, Bogotá D.C.",$650.000.000 | 80 m² | 2 | 3
2024-06-23 18:33:36,"Casa en Venta, ENVIGADO, Envigado",$650.000.000 | 80 m² | 2 | 3
2024-06-23 18:33:36,"Casa en Venta, BOSQUE DE PINOS   S2 AG, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, SAN PEDRO DE TIBABUYES, Bogotá D.C.",$600.000.000 | 96 m² | 3 | 2
2024-06-23 18:33:36,"Casa en Venta, La Venta, Fusagasuga",$600.000.000 | 96 m² | 3 | 2
2024-06-23 18:33:36,"Casa en Venta, SAN JOSE DE BAVARIA, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, SAN JOSE BAVARIA, Bogotá D.C.",$820.000.000 | 160 m² | 4 | 4
2024-06-23 18:33:36,"Casa en Venta, SAN JOSE BAVARIA, Bogotá D.C.",$820.000.000 | 160 m² | 4 | 4
2024-06-23 18:33:36,"Casa en Venta, HACIENDA SAN SIMON, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, EL ALCARABAN, Acacias",$1.475.000.000 | 230 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, SAN FERNANDO, Bogotá D.C.",$1.475.000.000 | 230 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, HACIENDA SAN SIMON, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, SAN JOSE BAVARIA, Bogotá D.C.",$350.000.000 | 108.9 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, Fusagasuga",$350.000.000 | 108.9 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, NUEVO HORIZONTE, Soacha",
2024-06-23 18:33:36,"Casa en Venta, LA TEBAIDA, Armenia",$1.450.000.000 | 446.3 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, Jordan Vi, Ibagué",$1.450.000.000 | 446.3 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, Conjunto Residencial Camino del Cerro, Bogotá …",
2024-06-23 18:33:36,"Casa en Venta, 20 DE JULIO, Bogotá D.C.",$375.000.000 | 66 m² | 3 | 2
2024-06-23 18:33:36,"Casa en Venta, Villa de Leyva, Villa De Leyva",$375.000.000 | 66 m² | 3 | 2
2024-06-23 18:33:36,"Casa en Venta, la pradera norte usaquen, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, Girardot Vereda Agua Blanca, Girardot",$629.000.000 | 265 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, VILLA LUZ, Bogotá D.C.",$629.000.000 | 265 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, Fontanar, Chía",
2024-06-23 18:33:36,"Casa en Venta, SOLEDAD, Soledad",$695.000.000 | 268.8 m² | 5 | 3
2024-06-23 18:33:36,"Casa en Venta, RECODO DEL COUNTRY, Bogotá D.C.",$695.000.000 | 268.8 m² | 5 | 3
2024-06-23 18:33:36,"Casa en Venta, MONTICHELO, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, Lagos del Cacique, Bucaramanga",$3.600.000.000 | 540 m² | 3 | 5
2024-06-23 18:33:36,"Casa en Venta, Paola Andrea López 316851_6001, Cajicá",$3.600.000.000 | 540 m² | 3 | 5
2024-06-23 18:33:36,"Casa en Venta, PLAZUELA DE IBERIA, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, DAPA, Yumbo",$3.180.000.000 | 330 m² | 4 | 5
2024-06-23 18:33:36,"Casa en Venta, URBANIZACION RIASCOS, Santa Marta",$3.180.000.000 | 330 m² | 4 | 5
2024-06-23 18:33:36,"Apartamento en Venta, Colina Campestre I Y Ii Etapa, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, Puerto Colombia, Puerto Colombia",$2.700.000.000 | 625 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, Sopo (Incluye Yerbabuena)",$2.700.000.000 | 625 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, LA VEGA CUNDINAMARCA, La Vega",
2024-06-23 18:33:36,"Casa en Venta, Envigado loma del atravesado, Envigado",$4.000.000.000 | 432 m² | 3 | 5
2024-06-23 18:33:36,"Casa en Venta, VILLA CAMPESTRE, Barranquilla",$4.000.000.000 | 432 m² | 3 | 5
2024-06-23 18:33:36,"Casa en Venta, SAN JOSE BAVARIA, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, La Maria Pance, Cali",$3.500.000.000 | 700 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, ALTOS DE SOTILEZA, Bogotá D.C.",$3.500.000.000 | 700 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, BUENOS AIRES, Medellín",
2024-06-23 18:33:36,"Casa en Venta, ONCE DE NOVIEMBRE, Bogotá D.C.",250 | 2 | 3
2024-06-23 18:33:36,"Casa en Venta, LA TEBAIDA, Armenia",97.2 | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, LA SOLEDAD TEUSAQUILLO, Bogotá D.C.",140 | 3 | 2
2024-06-23 18:33:36,"Casa en Venta, Fusagasuga",$1.350.000.000 | 250 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, GUAYMARAL, Bogotá D.C.",$1.350.000.000 | 250 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, san miguel, Girardot",
2024-06-23 18:33:36,"Casa en Venta, Cojunto cerrado el trapiche, Villavicencio",$600.000.000 | 231 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, Nueva Esperanza 2, Villavicencio",$600.000.000 | 231 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, SAN JOSE DE BAVARIA, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, Loma del atravesado, Envigado",$800.000.000 | 212 m² | 4 | 3
2024-06-23 18:33:36,"Casa en Venta, soacha, Soacha",$800.000.000 | 212 m² | 4 | 3
2024-06-23 18:33:36,"Casa en Venta, CERROS DE PROVENZA, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, POLO CLUB, Bogotá D.C.",$2.700.000.000 | 660 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, bogota| san jose de bavaria, Bogotá D.C.",$2.700.000.000 | 660 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, LOMA DEL ESCOBERO, Envigado",
2024-06-23 18:33:36,"Casa en Venta, Loma del Atravesado, Envigado",$430.000.000 | 202 m² | 5 | 3
2024-06-23 18:33:36,"Casa en Venta, EL POBLADO TESORO, Medellín",$430.000.000 | 202 m² | 5 | 3
2024-06-23 18:33:36,"Casa en Venta, Villa Magdala, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, LOMA PADRE MARIANITO, Medellín",$1.100.000.000 | 218 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, Benedictinos  Envigado, Envigado",$1.100.000.000 | 218 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, EL POBLADO LOS BALSOS, Medellín",
2024-06-23 18:33:36,"Casa en Venta, San Lucas  Envigado, Envigado",$780.000.000 | 220 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, San Lucas  Envigado, Envigado",$780.000.000 | 220 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, Loma del Chocho  Envigado, Envigado",
2024-06-23 18:33:36,"Casa en Venta, bogota| san jose de bavaria, Bogotá D.C.",$1.900.000.000 | 560 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, LA ALBORADA, Bogotá D.C.",$1.900.000.000 | 560 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, ALFONSO LOPEZ, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, playa rica, Pereira",$3.500.000.000 | 422.5 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, Cajicá",$3.500.000.000 | 422.5 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, NORMANDIA I, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, PORTALES DEL MONTE, Bogotá D.C.",$1.100.000.000 | 347 m² | 5 | 4
2024-06-23 18:33:36,"Casa en Venta, Narino",$1.100.000.000 | 347 m² | 5 | 4
2024-06-23 18:33:36,"Casa en Venta, VILLA CAMPESTRE, Barranquilla",
2024-06-23 18:33:36,"Casa en Venta, La Reforma, Cali",$2.800.000.000 | 331 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, ARBOLEDA, Cali",$2.800.000.000 | 331 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, PANCE AV LA MARIA, Cali",
2024-06-23 18:33:36,"Casa en Venta, VILLA DEL PRADO, Bogotá D.C.",$750.000.000 | 500 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, vereda Bojaca, Chía",$750.000.000 | 500 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, TIMIZA, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, Cota (Incluye Siberia)",$709.891.592 | 234 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, EL BOSQUE, Cartagena de Indias",$709.891.592 | 234 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, LOS ALPES, Barranquilla",
2024-06-23 18:33:36,"Casa en Venta, LA TEBAIDA, Armenia",$1.188.478.089 | 0 m² | 5 | 4
2024-06-23 18:33:36,"Casa en Venta, LA HACIENDA, Cali",$1.188.478.089 | 0 m² | 5 | 4
2024-06-23 18:33:36,"Casa en Venta, GUADALUPE, Cali",
2024-06-23 18:33:36,"Casa en Venta, CONDOMINIO ALTO PANCE, Cali",$641.000.000 | 0 m² | 4 | 3
2024-06-23 18:33:36,"Casa en Venta, Manzanares, Bucaramanga",$641.000.000 | 0 m² | 4 | 3
2024-06-23 18:33:36,"Casa en Venta, SAN ANTONIO, Cali",
2024-06-23 18:33:36,"Casa en Venta, CIUDAD 200, Cali",$1.600.000.000 | 250 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, ENVIGADO, Envigado",$1.600.000.000 | 250 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, RIONEGRO, Rionegro",
2024-06-23 18:33:36,"Casa en Venta, ENVIGADO, Envigado",$560.000.000 | 166 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, KUBIK VERDE, Sopo (Incluye Yerbabuena)",$560.000.000 | 166 m² | 3 | 4
